,Gene,Druggable Family
141,GRIN2A,Yes
142,CCL26,No
143,NTRK2,Yes
144,HRH2,Yes
145,KCNJ8,Yes
146,ABL2,Yes
147,GRIK2,Yes
148,AKR1C3,Yes
149,HGFAC,Yes
150,MAPK8,Yes
151,BCHE,Yes
152,NTRK3,Yes
153,CNR1,Yes
154,CDK2,Yes
155,CA5B,Yes
156,PHOSPHO1,Yes
157,CA3,Yes
158,TACR3,Yes
159,TDP1,Yes
160,RIPK2,Yes
161,TDO2,Yes
162,PDE4A,Yes
163,CYP2D6,Yes
164,STK36,Yes
165,ABL1,Yes
166,CLK2,Yes
167,KCNQ1,Yes
168,ABCB1,Yes
169,CHRM4,Yes
170,LTB4R,Yes
171,CDK16,Yes
172,MT-ND4,Yes
173,GCGR,Yes
174,ACHE,Yes
175,PDGFRA,Yes
176,HRAS,Yes
177,PMM2,No
178,DRD4,Yes
179,HTR7,Yes
180,MPI,Yes
181,PDE4B,Yes
182,TNNI3K,Yes
183,ESRRB,Yes
184,KDR,Yes
185,HSD17B1,Yes
186,DAPK3,Yes
187,HTR1A,Yes
188,FRK,Yes
189,RNASEL,No
190,MGLL,Yes
191,CDK4,Yes
192,MDM2,Yes
193,PRUNE1,No
194,NAPRT,No
195,ATP1A1,Yes
196,CYP17A1,Yes
197,SLFN13,No
198,PRKCH,Yes
199,EPHA8,Yes
200,TEK,Yes
201,CA5A,Yes
202,MAPK3,Yes
203,TMEM97,No
204,SLCO1B1,Yes
205,ADRA2A,Yes
206,VKORC1,Yes
207,GABRA5,Yes
208,RPS6KA1,Yes
209,CD8A,No
210,CA14,Yes
211,RAF1,Yes
212,KLK1,Yes
213,HTR1B,Yes
214,AGTR1,Yes
215,CASP1,Yes
216,HDAC1,Yes
217,MAP2K1,Yes
218,CYP26A1,Yes
219,AURKA,Yes
220,CDK5,Yes
221,CYP19A1,Yes
222,SLC6A3,Yes
223,CHRNB2,Yes
224,ADRA2B,Yes
225,EPHX2,Yes
226,PDE11A,Yes
227,PTGFR,Yes
228,EPHA3,Yes
229,CA9,Yes
230,TUBB4B,Yes
231,CD4,No
232,CA4,Yes
233,CSNK2A1,Yes
234,SIGMAR1,Yes
235,GABRA2,Yes
236,AAK1,Yes
237,MKNK2,Yes
238,EPHA6,Yes
239,KCNN4,Yes
240,KCNJ11,Yes
241,MAPK14,Yes
242,CHRNA1,Yes
243,FKBP1A,Yes
244,GAK,Yes
245,GPER1,Yes
246,FDPS,Yes
247,CA12,Yes
248,SLC12A1,Yes
249,CYP2J2,Yes
250,GRIK3,Yes
251,EPHA2,Yes
252,F2,Yes
253,AHCYL1,No
254,PPP3CA,Yes
255,HTR4,Yes
256,IMPDH1,Yes
257,GRIK5,Yes
258,FKBP1B,Yes
259,THRA,Yes
260,THRB,Yes
261,SIRT1,Yes
262,SCNN1A,Yes
263,PSMB1,Yes
264,ADRB1,Yes
265,PRKACB,Yes
266,GABBR1,Yes
267,CYP3A4,Yes
268,FUT7,No
269,GSTP1,Yes
270,GALE,Yes
271,HDAC3,Yes
272,LCK,Yes
273,ANKRD49,No
274,CDK1,Yes
275,CACNA1H,Yes
276,DPP4,Yes
277,CYP51A1,Yes
278,NR3C1,Yes
279,EPHA1,Yes
280,DAPK2,Yes
281,POLA1,Yes
282,HRH3,Yes
283,CDC42BPB,Yes
284,KLRK1,No
285,HDAC9,Yes
286,ALOX5AP,Yes
287,HTR1D,Yes
288,MAOB,Yes
289,ALDH2,Yes
290,UMPS,Yes
291,ADRB2,Yes
292,CD46,No
293,CYP24A1,Yes
294,GPR55,Yes
295,AKR1C1,Yes
296,SLC29A1,Yes
297,CLK4,Yes
298,CHRM3,Yes
299,DDR2,Yes
300,JAK3,Yes
301,FABP3,No
302,ACE,Yes
303,CIT,Yes
304,HTR5A,Yes
305,FGR,Yes
306,CD55,No
307,HRH1,Yes
308,OR10G6,No
309,MAPK9,Yes
310,CHRM2,Yes
311,CYB5R3,No
312,NAMPT,Yes
313,F12,Yes
314,TOP1MT,Yes
315,CA7,Yes
316,MAP4K1,Yes
317,DRD1,Yes
318,RXRA,Yes
319,MTOR,Yes
320,HDAC11,Yes
321,DTYMK,No
322,ST14,Yes
323,NR3C2,Yes
324,ERBB4,Yes
325,METAP2,Yes
326,SLFN12,No
327,C4A,No
328,TST,No
329,IMPDH2,Yes
330,TNIK,Yes
331,CYP3A5,Yes
332,BBOX1,No
333,BRAF,Yes
334,PPIA,Yes
